Title,Description,Company,Salary From,Salary To,Currency,Offer URL,Technologies,Added At
Flutter Frontend Developer - Full-Time - Wrocław,,Workbase,8200,24800,PLN,https://bulldogjob.pl/companies/jobs/146107-flutter-frontend-developer-full-time-wroclaw-wroclaw-workbase,Flutter,
Frontend Web Game Developer,,Optimo Development,15000,20000,PLN,https://bulldogjob.pl/companies/jobs/146659-frontend-web-game-developer-lodz-optimo-development,"TypeScript,OOP,ECMAScript,PIXI.js,WebAPI",
Regular Front-end Developer,,Solvbot,9200,23200,PLN,https://bulldogjob.pl/companies/jobs/146446-regular-front-end-developer-krakow-solvbot,"React,JavaScript,CSS,SCSS,HTML",
Senior Front End Developer,,Luxoft Poland,unknown,unknown,unknown,https://bulldogjob.pl/companies/jobs/146635-senior-front-end-developer-luxoft-poland,"CSS,HTML,JavaScript,REST,React",
Senior FrontEnd DeveloperSpecial Offer,,Special Offer,22000,32000,PLN,https://bulldogjob.pl/companies/jobs/146630-senior-frontend-developer-katowice-appvelocity,"React JS,JavaScript,HTML,CSS,React Native",
ALM Polarion Application Developer,,R&D Center Viessmann,unknown,unknown,unknown,https://bulldogjob.pl/companies/jobs/146418-alm-polarion-application-developer-wroclaw-r-d-center-viessmann,"JavaScript,HTML",
Front-end Developer,,Sii Polska,8500,13000,PLN,https://bulldogjob.pl/companies/jobs/146216-front-end-developer-warszawa-gdansk-wroclaw-poznan-krakow-lodz-lublin-katowice-rzeszow-bydgoszcz-bialystok-czestochowa-gliwice-pila-szczecin-kielce-torun-sii-polska,"JavaScript,Angular / ReactJS / VueJS",
Front-end Developer,,Sii Polska,13000,23000,PLN,https://bulldogjob.pl/companies/jobs/146215-front-end-developer-warszawa-gdansk-wroclaw-poznan-krakow-lodz-lublin-katowice-rzeszow-bydgoszcz-bialystok-czestochowa-gliwice-pila-szczecin-kielce-torun-sii-polska,"JavaScript,Angular / ReactJS / VueJS",
FrontEnd Developer,,Asseco Data Systems S.A.,unknown,unknown,unknown,https://bulldogjob.pl/companies/jobs/146591-frontend-developer-szczecin-asseco-data-systems-s-a,"Angular,CSS3/SCSS/SASS,HTML",
Senior Web Developer (Angular),,Motorola Solutions Systems Polska Sp.z.o.o,unknown,unknown,unknown,https://bulldogjob.pl/companies/jobs/145641-senior-web-developer-angular-krakow-motorola-solutions-systems-polska-sp-z-o-o,"Angular,JavaScript",
"Junior Frontend Developer - Full-time, Remote","Are you a young software developer, enthusiastic and eager to build and ship amazing products?
 Do you have high standards for code quality and user experiences?",Bluelight Consulting,65.7K,83.2K,$,https://www.indeed.com/rc/clk?jk=bf6342d046e82599&fccid=a8bcbb5ebbd3ed25&vjs=3,,2023-07-24
Frontend Developer,"Solid understanding of core javascript principles and frontend design principles.
 SANTA CLARA /ENGINEERING – ENGINEERING /FULL-TIME/ HYBRID.",LeanData,unknown,unknown,unknown,https://www.indeed.com/rc/clk?jk=89e7214519c1d810&fccid=c2aee9ad1ed3b1ec&vjs=3,,2023-08-23
Middle Frontend Developer ReactJS/ Remote,We are looking for a Middle Frontend Developer ReactJS / React Native to join our TNG Team building next-generation microservice-based enterprise applications.,HRS,86K,109K,$,https://www.indeed.com/rc/clk?jk=0a67dff16c0f2147&fccid=a3d4febf41ffb9d4&vjs=3,,2023-07-24
Frontend React Developer,"Front End React Developer, Speakeasy.
 (40% of the company is US-based; 60% is outside the U.S.).
 The Elixxir Team from xx network is looking for a Front End…",Blockchain Talents,unknown,unknown,unknown,https://www.indeed.com/rc/clk?jk=e8204d57ff143dba&fccid=734623aba8b7a021&vjs=3,,2023-07-24
React Native Developer,"We are looking for a crypto-anarchist strong React Native developer, who understands and thrives for the value of privacy, and wants to contribute to an open…",Blockchain Talents,unknown,unknown,unknown,https://www.indeed.com/rc/clk?jk=d518616bc4410225&fccid=734623aba8b7a021&vjs=3,,2023-07-24
FRONTEND DEVELOPER,"San Diego, CA, United States - Remote.
 We are a global digital agency comprised of strategists, creatives, media experts, data scientists, and engineers driven…",Mindgruve,73.8K,93.5K,$,https://www.indeed.com/rc/clk?jk=9506d41d81ab6d28&fccid=465975dfc844caca&vjs=3,,2023-08-23
Software Engineer (Frontend),"Hatch IT is partnering with an AI technology company to find a Front-End Software Engineer.
 Our client is looking for an experienced Front End Engineer to join…",Hatch IT,unknown,unknown,unknown,https://www.indeed.com/rc/clk?jk=c70101e14bfcc4d1&fccid=aa45e6dceb2005ba&vjs=3,,2023-08-23
Frontend Development,"INet hires frontend developers from all over, but many people commute from areas like Pewaukee, Waukesha, New Berlin, Milwaukee, Wauwatosa, West Allis,…",iNET-Web,70.7K,89.6K,$,https://www.indeed.com/rc/clk?jk=222366d365897cd9&fccid=6e0d672947f5eee4&vjs=3,,2023-07-24
Frontend Engineer,"Assist in developing and implementing user interface components using modern frontend frameworks and workflows.
 Join us to be a part of this exciting journey.",Rephrase.ai,110K,139K,$,https://www.indeed.com/rc/clk?jk=93e2baa67b73df54&fccid=be441848e77aad46&vjs=3,,2023-07-24
HTML/CSS Coder,"Creating HTML Pages in HTML5/CSS3 and JavaScript/jQuery.
 Maintenance of the sites and updating them.
 Ensuring design colours, fonts, images are in tune with…",Richsoft,67.8K,85.9K,$,https://www.indeed.com/rc/clk?jk=f7462b58d3e7ffca&fccid=b96943183fcbcbc7&vjs=3,,2023-07-24
